net,length_um
_03960_,941.26
_01544_,894.3
_17083_,822.39
_14463_,815.98
_17587_,813.33
_13714_,794.72
_05544_,763.19
clknet_0_clk,737.79
_14412_,729.07
_14317_,703.17
_10718_,696.16
_14707_,665.72
_14352_,654.49
_01611_,643.12
_06886_,632.3
_10411_,631.31
_09974_,626.58
_03938_,626.37
_14418_,618.6
_13206_,607.28
_16933_,603.13
_11611_,591.07
_07744_,590.72
_00688_,589.14
_14196_,583.395
_14355_,579.15
_17459_,574.06
_14195_,572.95
_03949_,560.97
_10275_,547.67
_11665_,539.64
_17377_,538.54
_04741_,534.45
_14714_,529.69
_09765_,527.22
_00077_,526.21
_14191_,525.97
_11600_,524.96
_14479_,522.8
_01298_,521.03
_14163_,519.13
_10317_,518.39
_14357_,517.72
_02646_,517.34
_14253_,517.21
_11668_,511.87
_17544_,509.33
_06490_,508.35
_14147_,507.17
_17346_,505.88
_06369_,504.61
_02929_,500.81
_04498_,500.77
_07964_,500.57
_11648_,498.635
_04103_,498.03
_10443_,494.875
_10514_,494.51
_01987_,493.49
_04048_,491.645
_03389_,490.525
_14512_,488.49
_14746_,484.315
_07898_,483.82
_14139_,483.76
_04697_,483.56
_09773_,483.42
_11610_,482.13
_16934_,480.93
clk,479.14
_14315_,478.61
_11057_,476.8
_02068_,471.87
_04454_,469.36
_17439_,467.39
_07689_,465.885
_02732_,463.43
_10653_,462.12
_14316_,461.705
_18422_,460.89
clknet_3_0_0_clk,460.1
_04431_,459.715
_02951_,459.685
_02472_,458.79
_18034_,458.74
_06875_,458.405
_04465_,457.48
_08508_,457.18
_09547_,454.56
_10399_,454.295
_17555_,452.53
_04496_,451.73
_11680_,451.665
_10254_,448.42
_04537_,447.12
net33,446.9
_15863_,445.52
_02353_,445.22
_18529_,444.995
_04505_,444.145
_11597_,443.99
_02809_,443.07
_09494_,442.75
_08498_,442.32
_10286_,441.675
clknet_3_1_0_clk,439.37
clknet_3_6_0_clk,438.46
_08506_,438.42
_07260_,438.1
_03675_,436.15
_02831_,434.48
net4,434.27
_02232_,433.09
_00677_,432.85
_08499_,432.65
_02342_,432.39
_04092_,431.41
_01540_,430.81
_10958_,430.6
_10296_,430.11
_01612_,429.96
_07172_,429.32
_15253_,428.68
_10476_,428.04
